nameid,high_WPM (time),avg_WPM (time),avg_acc,total match
Aomsin,49.77 (19.53 sec),27.78 (21.27 sec),83.29,16
Aomsi,26.52 (21.27 sec),26.519751 (21.267168 sec),97.87,1
lemon,47.04 (14.03 sec),33.19 (27.60 sec),74.63,3
tong,32.30 (26.01 sec),27.88 (28.01 sec),75.37,7
test,48.32 (18.63 sec),35.17 (19.08 sec),94.17,15
test2,29.99 (26.01 sec),29.991166 (26.007658 sec),100.0,1
Boss,8.17 (51.39 sec),8.173169 (51.387658 sec),100.0,1
PoP,35.90 (23.40 sec),35.76 (19.28 sec),65.76,2
Top,28.69 (16.73 sec),30.93 (20.12 sec),100.00,2
Uno,35.73 (20.15 sec),35.726967 (20.152844 sec),100.0,1
Aster,29.65 (20.23 sec),29.65 (20.23 sec),100.0,1
Lion,38.23 (23.54 sec),38.23 (23.54 sec),100.0,1
